nonStereoSMILES,descriptors,alcoholic,burnt,citrus,earthy,green,mint,odorless,phenolic,spicy,sulfurous,sweet,woody
CC1C=CCCC1,citrus,0,0,1,0,0,0,0,0,0,0,0,0
CC1=CCCCC1,citrus,0,0,1,0,0,0,0,0,0,0,0,0
Cc1cc(C)c(C)c(O)c1,woody,0,0,0,0,0,0,0,0,0,0,0,1
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Ca+2].[Ca+2].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(O)C(=O)[O-].CC(O)C(=O)[O-].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C([O-])C(O)C(O)C(=O)[O-].[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,odorless,0,0,0,0,0,0,1,0,0,0,0,0
N.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Fe+3],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])OC(CCO)CCO.O=P([O-])([O-])OCC(O)CO.[Fe+2].[Fe+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[Ca],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[Mg],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[Zn],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[V](=O)O[V](=O)=O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[Cu],odorless,0,0,0,0,0,0,1,0,0,0,0,0
[Ca+2].[Ca+2].[O-][Si]([O-])([O-])[O-],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,spicy,0,0,0,0,0,0,0,0,1,0,0,0
CC=CC(C)O,green,0,0,0,0,1,0,0,0,0,0,0,0
CCCCCCC1OCC(CO)O1,earthy;green;sweet,0,0,0,1,1,0,0,0,0,0,1,0
CCCCOC(=O)c1ccccc1O,green,0,0,0,0,1,0,0,0,0,0,0,0
CC1CCCC(C)(C)C1,green;sweet,0,0,0,0,1,0,0,0,0,0,1,0
CC(O)C(O)C(O)C(O)C=O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=c1nc[nH]c2c1ncn2C1OC(COP(=O)([O-])[O-])C(O)C1O.[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC1SCCCS1,sulfurous,0,0,0,0,0,0,0,0,0,1,0,0
O.O=S1(=O)N=C([O-])c2ccccc21.O=S1(=O)N=C([O-])c2ccccc21.[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
Cl.NC(CS)C(=O)O.O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
[He],odorless,0,0,0,0,0,0,1,0,0,0,0,0
[Zn],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=S(=O)([O-])[O-].[Mg+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
NC(CCC(=O)[O-])C(=O)O.[NH4+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])O.[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC8C(CO)OC(OC1C(O)C2O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])[O-].[Na+].[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[Si]=O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[N+]([O-])[O-].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=S(=O)([O-])[O-].[Fe+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[N+]([O-])[O-].[K+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Mg+2].[Mg+2].[Mg+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=S(=O)([O-])[O-].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
N.N.O=S(=O)(O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
[Ca+2].[O-][I+2]([O-])[O-].[O-][I+2]([O-])[O-],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])OP(=O)([O-])[O-].[Ca+2].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O.O.O.O.O.O.[Cl-].[Cl-].[Co+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
COc1cc(CCCS(=O)(=O)[O-])ccc1OC(Cc1cccc(OC)c1O)CS(=O)(=O)[O-].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(=O)O.O=CC(O)C(O)C(O)C(O)CO,odorless,0,0,0,0,0,0,1,0,0,0,0,0
OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[Al+3],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O.O.O=S(=O)([O-])[O-].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=S([O-])[O-].[K+].[K+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C(O)c1ccccc1O.OCCN(CCO)CCO,sweet,0,0,0,0,0,0,0,0,0,0,1,0
[Cl-].[NH4+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
[NH4+].[NH4+].[S-2],sulfurous,0,0,0,0,0,0,0,0,0,1,0,0
O=[Ti]=O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[Si]([O-])O.O=[Si]([O-])O.O=[Si]([O-])[O-].O=[Si]([O-])[O-].[Mg+2].[Mg+2].[Mg+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
COc1ccc(CCC(=O)c2c(O)cc(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)cc2O)cc1O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=S(=O)([O-])c1ccc(O)cc1.O=S(=O)([O-])c1ccc(O)cc1.[Zn+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
OCCCOCCCO,alcoholic,1,0,0,0,0,0,0,0,0,0,0,0
CC=CCCCCCC,citrus,0,0,1,0,0,0,0,0,0,0,0,0
CCC1OC(C)=C(O)C1=O,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
CC(C)=CCC(=O)c1ccoc1,mint,0,0,0,0,0,1,0,0,0,0,0,0
Cl.NC(CS)C(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.O.O.O=S(=O)(O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[Si]([O-])[O-].[Mg+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=S1(=O)N=C([O-])c2ccccc21.O=S1(=O)N=C([O-])c2ccccc21.[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])[O-].[K+].[K+].[K+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)SC1(C)C,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(=O)OCC(CO)OC(C)=O,alcoholic,1,0,0,0,0,0,0,0,0,0,0,0
CC(C)=CCCc1ccoc1,woody,0,0,0,0,0,0,0,0,0,0,0,1
O.O.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
[Mg+2].[OH-].[OH-],odorless,0,0,0,0,0,0,1,0,0,0,0,0
N#CC=Cc1ccccc1,spicy;sweet,0,0,0,0,0,0,0,0,1,0,1,0
CCOC(=O)c1ccc(O)c(O)c1,phenolic,0,0,0,0,0,0,0,1,0,0,0,0
C=CCCCCCC=C,citrus,0,0,1,0,0,0,0,0,0,0,0,0
CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CCCCOC(=O)C1CCCCC1,green,0,0,0,0,1,0,0,0,0,0,0,0
O=C1CCC=C1O,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
CC(=O)C(=O)c1cccs1,woody,0,0,0,0,0,0,0,0,0,0,0,1
OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC8C(CO)OC(OC9C(CO)OC(OC1C(O)C2O)C(O)C9O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
NC(CCC(=O)[O-])C(=O)[O-].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC1=C(O)C(=O)CC1C,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
CC(C)=CCCC(C)CC=NO,citrus;sweet,0,0,1,0,0,0,0,0,0,0,1,0
CC1=C2CCC(C)C2CC(C(C)(C)O)CC1,spicy,0,0,0,0,0,0,0,0,1,0,0,0
C=C1CCCC2(C)CCC(C(C)(C)O)CC12,green;woody,0,0,0,0,1,0,0,0,0,0,0,1
CCCCc1ncsc1C,green,0,0,0,0,1,0,0,0,0,0,0,0
C=CCc1cc2c(cc1OC)OCO2,spicy,0,0,0,0,0,0,0,0,1,0,0,0
CC(C)C1C=C2CCC3C(C)(CO)CCCC3(C)C2CC1,woody,0,0,0,0,0,0,0,0,0,0,0,1
C=C(CCC=C(C)C)C1CC=C(CCC=C(C)C)CC1,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(C)CC(=O)OC1C2(C)CCC(C2)C1(C)C,green;woody,0,0,0,0,1,0,0,0,0,0,0,1
CC1C(=O)CC23CC1C(C)(C)C2CCC3C,earthy;woody,0,0,0,1,0,0,0,0,0,0,0,1
CCC(=O)OC1C=C(C)C2CC(=C(C)C)CC2C(C)C1,earthy;woody,0,0,0,1,0,0,0,0,0,0,0,1
COC1=C(C)CC(C)C1=O,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
CCC1CCC(=O)C1=O,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
COC(=O)c1ccc(O)c(C)c1O,phenolic;sweet,0,0,0,0,0,0,0,1,0,0,1,0
CC(=O)C1=C2CC3(C)CCC2(CC3)C(C)(C)CC1,woody,0,0,0,0,0,0,0,0,0,0,0,1
