Main Odour,Ethereal,Chemical,Pungent,Floral,Citrusy,Earthy,Sweet,Popcorn (toasted/nutty),Woody/Resinous,Musky,Putrid,Fruity (non-citrus),Camphoraceous,Spicy,Pepperminty,Creamy,Green,Buttery
dairy,Low,,,,,,Medium,,,Low,Low,,,,,,,
dry,,,,,,Medium,,,Medium,Low,,,,,,,,
earthy,,,,,,High,,,Medium,Low,,,,,,,,
ethereal,High,Medium,,Low,,,Low,,,,,,,,,,,
fatty,Low,,,,,,Medium,Medium,,,,,,,,,,
fermented,,,Medium,,,Medium,Low,,,,Low,,,,,,,
fishy,Low,,High,,,,,,,,Medium,,,,,,,
floral,,,,High,,,Medium,,,,,Low,,,,,,
fresh,Medium,,,Low,Medium,,,,,,,,,,Low,,,
fruit skin,,,,,Low,Low,Medium,,,,,Medium,,,,,,
fruity,,,,,Low,,Medium,,,,,High,,,,,,
garlic,,Medium,High,,,Medium,,,,,Low,,,,,,,
gassy,,Medium,High,,,,,,,,Medium,,,,,,,
geranium,,,,High,,Low,,,Medium,,,,,,Low,,,
grape,,,,Low,,Low,Medium,,,,,High,,,,,,
grapefruit,,,,,High,,Low,,,,,Medium,,,,,,
grassy,,,,Low,,Medium,Low,,Low,,,,,,,,,
green,,,,Low,,Medium,Low,,Low,,,Low,,,,,,
hawthorn,,,,High,,,,,,Low,,Medium,,,,,,
hay,,,,,,Medium,Low,,Medium,,,,,,,,,
hazelnut,,,,,,,Medium,High,Low,,,,,,,,,
herbal,,,,Low,Low,Low,,,Medium,,,,Medium,,,,,
honey,,,,Medium,,,High,,Low,,,Low,,,,,,
hyacinth,,,,High,,Low,Medium,,Low,,,,,,,,,
jasmin,,,,High,,,Medium,,,,,Low,,,,,,
juicy,,,,,Medium,,Medium,,,,,High,,,,,,
ketonic,,High,Medium,,,,Medium,,,,,Low,,,,,,
lactonic,,,,,,,Medium,,,,,Low,,,,High,,
lavender,,,,High,,,Low,,Low,,,,Medium,,,,,
leafy,,,,Low,,High,Low,,Medium,,,,,,,,,
leathery,,Low,,,,Medium,,,Medium,Low,,,,,,,,
lemon,Low,,,,High,,Low,,,,,Medium,,,,,,
lily,Low,,,High,,,Medium,,,,,,,,,,,
malty,,,,,,,Medium,High,,,,,,,,,,
meaty,,,Medium,,,Low,Low,,,Medium,,,,,,,,
medicinal,,Medium,Low,,,,,,,,,,High,,,,,
melon,,,,,,,Medium,,,,,High,,,,,,
metallic,,Medium,Low,,,Low,,,,,,,,,,,,
milky,,,,,,Low,Medium,Low,,,,,,,,,,
mint,Medium,,,,,,Low,,,,,,,,High,,,
muguet,,,,High,,,Low,,,,,,,,,,Medium,
mushroom,,,,,,Medium,Low,,Low,,,,,,,,,
musk,,,,,,Low,,,Medium,High,,,,,,,,
musty,,,,,,High,,,Medium,,Low,,,,,,,
natural,,,,Low,,Medium,Low,,Medium,,,Low,,,,,,
nutty,,,,,,Low,,High,Medium,,,,,,,,,
odorless,,,,,,,,,,,,,,,,,,
oily,,Medium,Low,,,Low,,,,,,,,,,,,
onion,,,High,,,Low,Medium,,,,,,,,,,,
orange,,,,,High,,Medium,,,,,Low,,,,,,
orangeflower,,,,High,Low,,Medium,,,,,,,,,,,
orris,,,,High,,Medium,Low,,Medium,,,,,,,,,
ozone,High,Medium,Low,,,,,,,,,,Medium,,,,,
peach,,,,Low,,,Medium,,,,,High,,,,,,
pear,,,,Low,,,Medium,,,,,High,,,,,,
phenolic,,High,Medium,,,,,,Low,,,,,,,,,
pine,,,,,,Medium,,,High,,,,Low,,,,,
pineapple,,,,,Low,,Medium,,,,,High,,,,,,
plum,,,,Low,,,Medium,,,,,High,,,,,,
popcorn,,,,,,Low,Medium,High,,,,,,,,,,Medium
potato,,,,,,Medium,,Low,,,,,,,,,,
powdery,,,,Medium,,,Low,,,Medium,,,,,,,,
pungent,Low,Medium,High,,,,,,,,,,,,,,,
radish,,,High,,,Medium,,,,,,,,,Low,,,
raspberry,,,,Low,,,Medium,,,,,High,,,,,,
ripe,,,,Low,,Low,Medium,,,,,High,,,,,,
roasted,,,,,,Low,,High,Medium,,,,,,,,,
rose,,,,High,,Low,Medium,,,,,,,,,,,
rummy,Low,,,,,,Medium,,Low,,,Medium,,,,,,
sandalwood,,,,,,Medium,Low,,High,,,,,,,,,
savory,,,Low,,,Medium,Low,,Medium,,,,,,,,,
sharp,,Medium,High,,,,,,,,,,Low,,,,,
smoky,,,Low,,,Medium,,Low,Medium,,,,,,,,,
soapy,Medium,Medium,,Medium,Low,,,,,,,,,,,,,
solvent,Medium,High,Medium,,,,,,,,,,,,,,,
sour,,Low,Medium,,Medium,,,,,,,,,,,,,
spicy,Low,,High,,,,,,Medium,,,,,,,,,
strawberry,,,,Low,,,Medium,,,,,High,,,,,,
sulfurous,,,High,,,,,,,,High,,,,,,,
sweaty,,,Medium,,,Low,,,,Medium,Low,,,,,,,
sweet,,,,,,,High,,,,,,,,,,,
tea,,,,Medium,,Medium,Low,,Low,,,,,,,,,
terpenic,,,,,Low,,,,Medium,,,,Medium,,,,,
tobacco,,,,,,Medium,Medium,,High,Low,,,,,,,,
tomato,,,,,,Medium,Low,,Low,,,Medium,,,,,,
tropical,,,,Medium,Medium,,Medium,,,,,High,,,,,,
vanilla,,,,Medium,,,High,,Low,,,,,,,,,
vegetable,,,Low,,,Medium,Low,,Low,,,,,,,,,
vetiver,,,,,,High,Low,,High,Low,,,,,,,,
violet,,,,High,,,Medium,,Low,,,,,,,,,
warm,,,,,,Low,Low,,Medium,Low,,,,,,,,
waxy,,Low,,,,Low,Medium,,,,,,,,,,,
weedy,,,Low,,,Medium,,,Medium,,,,,,,,,
winey,,,,,,Low,Low,,Low,,,Medium,,,,,,
woody,,,,,,Medium,,,High,,,,Low,,,,,
